baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F	baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Neurl3	1484.01773893259	0.00238466615045069	0.00654164289977073	0.364536277352324	0.715457589189474	0.979127044690942	1841.06380987434	0.00490410346682171	0.00828373347535868	0.592016085670763	0.553839816926593	0.822706126262321
Arid5a	553.267464163712	0.00805913857861891	0.00560986101482287	1.43660218271439	0.150831063059258	0.715805018273874	564.952272329455	0.0188666551253421	0.0114444521275568	1.64854157412337	0.099241586778819	0.416025211442959
Kansl3	1224.3227751167	0.00303022989945136	0.0036950603307284	0.820075892740299	0.412172844137194	0.912073183119225	1266.55814225188	-0.0104445899038294	0.00524521043040487	-1.99126232253435	0.0464520553660627	0.302706162447442
Fer1l5	18.8891591270865	-0.00997128400564212	0.022125093588514	-0.450677596718444	0.652221931321421	0.967106211178413	19.7637387886105	-0.0616049764528247	0.0199624765882071	-3.08603875779711	0.00202842380196628	0.0603551761452984
Lman2l	224.158407684764	-0.0138271841120519	0.00648101758079333	-2.13348967807603	0.0328845774986472	0.386666008932769	246.625341710056	0.00238298216932986	0.00559124225574308	0.426199055653896	0.669962805555693	0.882004670237986
Cnnm4	179.164944958347	0.00272606688655981	0.00927608867468202	0.293881072310174	0.768848781902357	0.985226323739273	203.79230630085	0.0102941875166952	0.0059773468867571	1.7222001185011	0.0850332734001362	0.392671953593015
Cnnm3	581.561866438423	-0.00181581225998789	0.00733877068572397	-0.247427305981937	0.804577543893041	0.98610916571764	579.93176316677	-0.00270863611579484	0.0073688186061482	-0.367580783374812	0.713185845796403	0.899541844766152
Ankrd23	104.880997346638	-0.0106776254975187	0.00842981624784874	-1.26664985138242	0.205280518838559	0.782870104175898	122.894619400564	-0.0154729297494361	0.00987175934613755	-1.56739332948691	0.117022782186765	0.443884371638073
Ankrd39	91.4431375333829	-0.00431931004124618	0.00910806869120295	-0.474228970782577	0.63533663632565	0.963922889720264	98.4971920227437	-0.0104696651721023	0.00934948360270441	-1.11981213262665	0.262793827989981	0.612183105880928
Sema4c	141.955933480818	0.00793915591247931	0.0109771656344646	0.723242791158499	0.46953073338177	0.933626627521255	126.004532836352	-0.00242653179207589	0.00997256471431253	-0.24332073659982	0.807756941546101	0.938735521733598
Cox5b	717.680639044648	-0.002041571485494	0.00840883790745021	-0.242788778659317	0.808169028860755	0.98610916571764	805.039099122911	0.0154018405663315	0.00658447048731354	2.33911604524717	0.0193294284900456	0.202990241274987
Actr1b	614.93231243987	0.00148146394174482	0.0042233487114627	0.350779450847603	0.725753814679016	0.980039332446995	682.12085005691	0.00422993782698145	0.0050081176772062	0.844616300897534	0.398325104757102	0.727155472232565
Tmem131	2984.54302163214	-0.00534206672242731	0.00323285663508772	-1.65242920593735	0.0984470858263707	0.617624947724374	3082.07628873036	0.00152424284248373	0.00290116198998033	0.525390463458425	0.599311781636853	0.849245146100791
Inpp4a	2301.22711099819	0.00127916363885551	0.00482825771922885	0.264932759028409	0.791061261693929	0.98610916571764	2704.02423441835	-0.0173799251615181	0.00553804383644205	-3.13827872707557	0.00169943191548577	0.0549744437070985
Coa5	734.005079500077	-0.0076869472560387	0.00515999024873278	-1.48972127571879	0.136297538039837	0.689329619130836	795.637764752961	0.00825416361533995	0.00591604534443712	1.39521642157482	0.162950586471029	0.506851196827312
Unc50	358.8551293392	0.00281939571412433	0.00638682124177878	0.441439584324284	0.658894790426788	0.968144990524896	373.843695876437	0.014710608718266	0.00541431513953642	2.71698420560085	0.00658797514769045	0.11698307538916
Mgat4a	590.721946175035	0.00136940318594078	0.0040147632651288	0.341091888987593	0.733034407142896	0.980760438219207	694.020668156499	0.00787115990768517	0.0107568227600125	0.731736506521745	0.464329409641213	0.769790236391343
4930594C11Rik	146.218040019144	0.0125228671445016	0.0073522085524624	1.70327964109607	0.0885157487018608	0.59030281378147	154.173565768883	-0.00893128546879581	0.00965357554044175	-0.925179010759273	0.354872799525356	0.690906672656157
2010300C02Rik	10.9615326327552	-0.0377346696740065	0.026895233558477	-1.40302442780286	0.160609554734939	0.728531037471761	13.6339300681271	0.00184632343243482	0.0244599416072317	0.0754835584680607	0.939829978654878	0.985903597647243
Tsga10	683.073651614607	0.00701190748960832	0.00472967282389389	1.48253542067113	0.138197886046813	0.69125027785761	630.285928742398	-0.0196384444051423	0.00758738842214989	-2.58830091626938	0.00964506821476431	0.140186844006298
Lipt1	16.7023178484343	0.0322824609675704	0.0203408808156409	1.58707291292652	0.112496131884559	0.641982747002118	24.6436993583412	0.0162270119450646	0.0187784390655974	0.864129967798705	0.387516498167767	0.719204396588115
Mitd1	160.969146065446	0.00707744783667348	0.0100215510264425	0.706222801041391	0.480049593007007	0.935761756829522	143.343878333826	0.00385176653061912	0.0106478314567478	0.36174187638725	0.717544930446253	0.900907990323821
