baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Mcmdc2	9.9371562995419	-0.0581250863504881	0.0299533820426897	-1.94051831167672	0.0523167309491941	0.320869167552277
Snhg6	71.8408393653143	0.0190070090655696	0.0127679832957142	1.48864614131737	0.136580574466212	0.472176682891666
Snord87	7.10815686890198	-0.00536646031553463	0.0356578144648319	-0.150498856872661	0.88037105255019	0.964212275281986
Tcf24	4.03655927252664	-0.0174084024547296	0.0402582084859098	-0.432418706878684	0.665437124357685	NA
Cops5	431.23240075731	0.00782635770267002	0.00589750847440581	1.32706171371098	0.184488268902465	0.53302797812273
Cspp1	522.595819515665	-0.0189367692536255	0.00692875031365041	-2.73307139042346	0.00627467303341222	0.113411568752906
Arfgef1	2545.73625345516	-0.00583641988883681	0.0049161423035782	-1.18719506646274	0.235150686446223	0.585602262180329
Sulf1	3.08435343750302	0.0688444816465469	0.0628522555591146	1.09533828235959	0.273368461800829	NA
Slco5a1	2.54256745440878	-0.0169535625438551	0.0595407867851006	-0.284738638154804	0.775844386442545	NA
Ncoa2	2306.36224004636	-0.00212835069875564	0.00518411113538708	-0.410552675892185	0.681400570730577	0.887527122192362
Tram1	2096.18970702575	0.0031364620083309	0.00588072459226842	0.533346181940659	0.593793964616998	0.846021725763072
Lactb2	449.229778054769	-0.0137849319159617	0.00577171071522938	-2.38836154410658	0.0169236838089071	0.190384545115377
Gm5523	2.64199898900331	0.0568736011681562	0.0606163981353406	0.938254381944178	0.348113697092546	NA
Eya1	3.74602073218311	0.00575546354452913	0.0515519400864299	0.111643975665702	0.911105702424987	NA
Terf1	228.240399007371	-0.0118909463387382	0.0104984416345225	-1.13263918138447	0.257365807605042	0.606606976125475
Rpl7	12200.3236827812	0.00604750810402527	0.00364120060353876	1.66085551511441	0.0967424683884297	0.412344651428903
Rdh10	108.897203961657	0.000463687543002986	0.0101265988226816	0.0457890700641183	0.963478370499778	0.991979956702962
Stau2	253.553113321315	-0.00998765836841027	0.00740724669061826	-1.34836313485553	0.17754161494533	0.524564171585775
Ube2w	503.546512152788	-0.00537090256852587	0.0070230998481221	-0.764748143223678	0.444421532288775	0.754619387800159
Tceb1	216.243042692387	-0.00096666792404626	0.0075760845477863	-0.127594658949354	0.898469758124209	0.971588695951075
Tmem70	236.682767240923	0.0061684844453617	0.00689251364589579	0.894954259399223	0.370811539754936	0.7035882667391
Ly96	170.567839948024	-0.0184389082235556	0.00974422456574335	-1.89229097699361	0.0584522224795775	0.333347627926717
Jph1	11.9162952531511	-0.00264039414523919	0.0462941283960656	-0.0570351843034934	0.954517167725926	0.990559463386967
Mcm3	987.405429255273	0.0163017081953237	0.0136968366727262	1.19018052013312	0.233975447853723	0.583388335628404
Paqr8	11.2981235878939	-0.00834747738610396	0.0360656279552793	-0.231452434335947	0.816963334090193	0.942983478763209
Efhc1	4.16941160275209	-0.0723928980952655	0.04570690090222	-1.58385050542224	0.11322774285969	NA
Tram2	176.971347802814	0.0152453194739302	0.0113794860470797	1.33971951025351	0.180336552119494	0.528730174654784
Tmem14a	6.70902138078219	-0.044822599158485	0.0331870132337387	-1.35060660152801	0.176821484993069	0.524133561220722
Gsta3	11.0959043225004	0.15277659437709	0.0645719574026226	2.36598982782091	NA	NA
Mir30c-2	3.52366976672202	0.0493182360409809	0.0571444783225135	0.863044645584783	0.388112920668629	NA
Ogfrl1	653.244598560292	-0.0217264403316465	0.012824623427456	-1.69411916494427	0.0902426412322788	0.402297230313226
B3gat2	13.9813136341311	-0.0433679248647223	0.0222145947374778	-1.95222669498252	0.0509112961502585	0.315469996184509
Smap1	761.631200602648	9.46952908399849e-05	0.005702223279637	0.016606731479307	0.986750354355737	0.996258427684934
Sdhaf4	70.2103760849247	0.0231308713571468	0.0127501116463655	1.81417010287439	0.0696515414714729	0.362762433632462
Fam135a	439.669225815298	0.00748055977255626	0.00780704935646648	0.958180156291724	0.33797192170274	0.675408484746044
Lmbrd1	1409.30384654375	0.000335154283240087	0.00746401768266303	0.044902664689362	0.964184892873764	0.992358824758292
4931408C20Rik	2.32956380384253	-0.0696457311833364	0.0683806368715276	-1.01850076819532	0.308440035945328	NA
Phf3	2892.49400565107	-0.00434348099172436	0.00600887282023342	-0.722844553657175	0.469775391336612	0.772106088731461
Ptp4a1	32.5262582011187	0.0249872689324212	0.0163011537764326	1.53285278300647	0.125312131935443	0.45824285695581
Prim2	246.163137642841	0.00872844219964015	0.01079448502284	0.808602001964124	0.418744112883171	0.739739091512366
1700001G17Rik	3.95791102685072	-0.00978103944897641	0.0435255605053882	-0.224719436933284	0.8221975428232	NA
Rab23	95.2866595447557	0.0130813217864714	0.0108597354565529	1.20457094362994	0.22836897936572	0.577375359454493
Bag2	28.8786550698441	-0.00427940005290521	0.0187163997963419	-0.228644402741472	0.819145310195342	0.943617444127261
Zfp451	1120.89397513051	-0.0169536864790549	0.00711415036546805	-2.38309363846844	0.017167826817108	0.190995858134599
Gm15455	19.5587999193462	0.0149615023151191	0.024085931037356	0.621171848906923	0.534486559585422	0.811441929690697
Bend6	102.230524194856	-0.0121453533333159	0.0130676801308938	-0.929419239808495	0.352671860723763	0.689628401646625
Dst	235.703772380191	0.0316533217861594	0.0080286986905837	3.94252207064183	8.06292277587924e-05	0.00782475644157635
Mir5103	22.3213014742096	0.0161890877989323	0.0225991930160831	0.716356897673783	0.473771002267663	0.774755400099598
Ccdc115	545.752629452165	0.0046607427291725	0.0057206510474289	0.814722431158815	0.415231210583497	0.7375132975815
Imp4	414.581264714186	0.00105990296918918	0.00538111164664211	0.196967288320542	0.843853136430733	0.951375576446236
Ptpn18	3167.77362883283	0.0108270570851859	0.00643258689669263	1.68315753196474	0.0923445995572234	0.406531260960957
Prss39	2.77850400025352	0.015774497603364	0.051293037178541	0.307536821195752	0.75843480078626	NA
